"from","to","combined_score","target"
"9606.ENSP00000353557","9606.ENSP00000445929",188,"9606.ENSP00000353557"
"9606.ENSP00000445929","9606.ENSP00000479708",188,"9606.ENSP00000479708"
"9606.ENSP00000390630","9606.ENSP00000445929",187,"9606.ENSP00000390630"
"9606.ENSP00000445929","9606.ENSP00000494609",187,"9606.ENSP00000494609"
"9606.ENSP00000445929","9606.ENSP00000498441",187,"9606.ENSP00000498441"
"9606.ENSP00000198801","9606.ENSP00000445929",186,"9606.ENSP00000198801"
"9606.ENSP00000302620","9606.ENSP00000445929",186,"9606.ENSP00000302620"
"9606.ENSP00000320688","9606.ENSP00000445929",186,"9606.ENSP00000320688"
"9606.ENSP00000223366","9606.ENSP00000445929",185,"9606.ENSP00000223366"
"9606.ENSP00000306099","9606.ENSP00000445929",185,"9606.ENSP00000306099"
"9606.ENSP00000444433","9606.ENSP00000445929",185,"9606.ENSP00000444433"
"9606.ENSP00000238667","9606.ENSP00000445929",184,"9606.ENSP00000238667"
"9606.ENSP00000271857","9606.ENSP00000445929",184,"9606.ENSP00000271857"
"9606.ENSP00000306991","9606.ENSP00000445929",184,"9606.ENSP00000306991"
"9606.ENSP00000336829","9606.ENSP00000445929",184,"9606.ENSP00000336829"
"9606.ENSP00000384881","9606.ENSP00000445929",184,"9606.ENSP00000384881"
"9606.ENSP00000445929","9606.ENSP00000497767",184,"9606.ENSP00000497767"
"9606.ENSP00000263955","9606.ENSP00000445929",183,"9606.ENSP00000263955"
"9606.ENSP00000445929","9606.ENSP00000480703",183,"9606.ENSP00000480703"
"9606.ENSP00000445929","9606.ENSP00000496184",183,"9606.ENSP00000496184"
"9606.ENSP00000275730","9606.ENSP00000445929",182,"9606.ENSP00000275730"
"9606.ENSP00000335147","9606.ENSP00000445929",182,"9606.ENSP00000335147"
"9606.ENSP00000362576","9606.ENSP00000445929",182,"9606.ENSP00000362576"
"9606.ENSP00000387380","9606.ENSP00000445929",182,"9606.ENSP00000387380"
"9606.ENSP00000039007","9606.ENSP00000445929",181,"9606.ENSP00000039007"
"9606.ENSP00000273395","9606.ENSP00000445929",181,"9606.ENSP00000273395"
"9606.ENSP00000302961","9606.ENSP00000445929",181,"9606.ENSP00000302961"
"9606.ENSP00000304592","9606.ENSP00000445929",181,"9606.ENSP00000304592"
"9606.ENSP00000376458","9606.ENSP00000445929",181,"9606.ENSP00000376458"
"9606.ENSP00000445929","9606.ENSP00000449785",181,"9606.ENSP00000449785"
"9606.ENSP00000445929","9606.ENSP00000485952",181,"9606.ENSP00000485952"
"9606.ENSP00000222388","9606.ENSP00000445929",180,"9606.ENSP00000222388"
"9606.ENSP00000262027","9606.ENSP00000445929",180,"9606.ENSP00000262027"
"9606.ENSP00000262461","9606.ENSP00000445929",180,"9606.ENSP00000262461"
"9606.ENSP00000264451","9606.ENSP00000445929",180,"9606.ENSP00000264451"
"9606.ENSP00000366863","9606.ENSP00000445929",180,"9606.ENSP00000366863"
"9606.ENSP00000435777","9606.ENSP00000445929",180,"9606.ENSP00000435777"
"9606.ENSP00000234071","9606.ENSP00000445929",179,"9606.ENSP00000234071"
"9606.ENSP00000418734","9606.ENSP00000445929",179,"9606.ENSP00000418734"
"9606.ENSP00000445929","9606.ENSP00000476295",179,"9606.ENSP00000476295"
"9606.ENSP00000229307","9606.ENSP00000445929",178,"9606.ENSP00000229307"
"9606.ENSP00000232003","9606.ENSP00000445929",178,"9606.ENSP00000232003"
"9606.ENSP00000269305","9606.ENSP00000445929",178,"9606.ENSP00000269305"
"9606.ENSP00000292401","9606.ENSP00000445929",178,"9606.ENSP00000292401"
"9606.ENSP00000317721","9606.ENSP00000445929",178,"9606.ENSP00000317721"
"9606.ENSP00000340278","9606.ENSP00000445929",178,"9606.ENSP00000340278"
"9606.ENSP00000368835","9606.ENSP00000445929",178,"9606.ENSP00000368835"
"9606.ENSP00000445929","9606.ENSP00000455064",178,"9606.ENSP00000455064"
"9606.ENSP00000445929","9606.ENSP00000498610",178,"9606.ENSP00000498610"
"9606.ENSP00000296327","9606.ENSP00000445929",177,"9606.ENSP00000296327"
"9606.ENSP00000320217","9606.ENSP00000445929",177,"9606.ENSP00000320217"
"9606.ENSP00000356105","9606.ENSP00000445929",177,"9606.ENSP00000356105"
"9606.ENSP00000381480","9606.ENSP00000445929",177,"9606.ENSP00000381480"
"9606.ENSP00000231420","9606.ENSP00000445929",176,"9606.ENSP00000231420"
"9606.ENSP00000330341","9606.ENSP00000445929",176,"9606.ENSP00000330341"
"9606.ENSP00000334223","9606.ENSP00000445929",176,"9606.ENSP00000334223"
