"from","to","combined_score","target"
"9606.ENSP00000303525","9606.ENSP00000353007",279,"9606.ENSP00000303525"
"9606.ENSP00000312304","9606.ENSP00000353007",279,"9606.ENSP00000312304"
"9606.ENSP00000321424","9606.ENSP00000353007",279,"9606.ENSP00000321424"
"9606.ENSP00000326219","9606.ENSP00000353007",279,"9606.ENSP00000326219"
"9606.ENSP00000333300","9606.ENSP00000353007",279,"9606.ENSP00000333300"
"9606.ENSP00000334113","9606.ENSP00000353007",279,"9606.ENSP00000334113"
"9606.ENSP00000334801","9606.ENSP00000353007",279,"9606.ENSP00000334801"
"9606.ENSP00000353007","9606.ENSP00000354039",279,"9606.ENSP00000354039"
"9606.ENSP00000353007","9606.ENSP00000363794",279,"9606.ENSP00000363794"
"9606.ENSP00000353007","9606.ENSP00000368173",279,"9606.ENSP00000368173"
"9606.ENSP00000353007","9606.ENSP00000370648",279,"9606.ENSP00000370648"
"9606.ENSP00000353007","9606.ENSP00000370750",279,"9606.ENSP00000370750"
"9606.ENSP00000353007","9606.ENSP00000371483",279,"9606.ENSP00000371483"
"9606.ENSP00000353007","9606.ENSP00000375733",279,"9606.ENSP00000375733"
"9606.ENSP00000353007","9606.ENSP00000380027",279,"9606.ENSP00000380027"
"9606.ENSP00000353007","9606.ENSP00000380872",279,"9606.ENSP00000380872"
"9606.ENSP00000353007","9606.ENSP00000385725",279,"9606.ENSP00000385725"
"9606.ENSP00000353007","9606.ENSP00000389445",279,"9606.ENSP00000389445"
"9606.ENSP00000353007","9606.ENSP00000391121",279,"9606.ENSP00000391121"
"9606.ENSP00000353007","9606.ENSP00000411565",279,"9606.ENSP00000411565"
"9606.ENSP00000353007","9606.ENSP00000431010",279,"9606.ENSP00000431010"
"9606.ENSP00000353007","9606.ENSP00000442397",279,"9606.ENSP00000442397"
"9606.ENSP00000353007","9606.ENSP00000449079",279,"9606.ENSP00000449079"
"9606.ENSP00000353007","9606.ENSP00000457230",279,"9606.ENSP00000457230"
"9606.ENSP00000353007","9606.ENSP00000478303",279,"9606.ENSP00000478303"
"9606.ENSP00000353007","9606.ENSP00000480443",279,"9606.ENSP00000480443"
"9606.ENSP00000353007","9606.ENSP00000491941",279,"9606.ENSP00000491941"
"9606.ENSP00000265986","9606.ENSP00000353007",278,"9606.ENSP00000265986"
"9606.ENSP00000348168","9606.ENSP00000353007",278,"9606.ENSP00000348168"
"9606.ENSP00000223026","9606.ENSP00000353007",277,"9606.ENSP00000223026"
"9606.ENSP00000353007","9606.ENSP00000359531",277,"9606.ENSP00000359531"
"9606.ENSP00000329403","9606.ENSP00000353007",275,"9606.ENSP00000329403"
"9606.ENSP00000353007","9606.ENSP00000378935",275,"9606.ENSP00000378935"
"9606.ENSP00000353007","9606.ENSP00000360526",274,"9606.ENSP00000360526"
"9606.ENSP00000334198","9606.ENSP00000353007",273,"9606.ENSP00000334198"
"9606.ENSP00000241416","9606.ENSP00000353007",271,"9606.ENSP00000241416"
"9606.ENSP00000260356","9606.ENSP00000353007",271,"9606.ENSP00000260356"
"9606.ENSP00000353007","9606.ENSP00000380432",270,"9606.ENSP00000380432"
"9606.ENSP00000314080","9606.ENSP00000353007",269,"9606.ENSP00000314080"
"9606.ENSP00000353007","9606.ENSP00000415536",265,"9606.ENSP00000415536"
"9606.ENSP00000264773","9606.ENSP00000353007",264,"9606.ENSP00000264773"
"9606.ENSP00000345292","9606.ENSP00000353007",264,"9606.ENSP00000345292"
"9606.ENSP00000353007","9606.ENSP00000353270",264,"9606.ENSP00000353270"
"9606.ENSP00000304769","9606.ENSP00000353007",263,"9606.ENSP00000304769"
"9606.ENSP00000257290","9606.ENSP00000353007",261,"9606.ENSP00000257290"
"9606.ENSP00000284262","9606.ENSP00000353007",261,"9606.ENSP00000284262"
"9606.ENSP00000029410","9606.ENSP00000353007",260,"9606.ENSP00000029410"
"9606.ENSP00000353007","9606.ENSP00000478887",260,"9606.ENSP00000478887"
"9606.ENSP00000353007","9606.ENSP00000355751",259,"9606.ENSP00000355751"
"9606.ENSP00000353007","9606.ENSP00000380070",259,"9606.ENSP00000380070"
"9606.ENSP00000259895","9606.ENSP00000353007",258,"9606.ENSP00000259895"
"9606.ENSP00000265471","9606.ENSP00000353007",258,"9606.ENSP00000265471"
"9606.ENSP00000283875","9606.ENSP00000353007",258,"9606.ENSP00000283875"
"9606.ENSP00000285398","9606.ENSP00000353007",258,"9606.ENSP00000285398"
"9606.ENSP00000301788","9606.ENSP00000353007",258,"9606.ENSP00000301788"
