"from","to","combined_score","target"
"9606.ENSP00000309767","9606.ENSP00000311905",246,"9606.ENSP00000309767"
"9606.ENSP00000311905","9606.ENSP00000337383",246,"9606.ENSP00000337383"
"9606.ENSP00000311905","9606.ENSP00000348349",245,"9606.ENSP00000348349"
"9606.ENSP00000311905","9606.ENSP00000359114",245,"9606.ENSP00000359114"
"9606.ENSP00000311905","9606.ENSP00000388910",245,"9606.ENSP00000388910"
"9606.ENSP00000264808","9606.ENSP00000311905",244,"9606.ENSP00000264808"
"9606.ENSP00000311905","9606.ENSP00000348489",244,"9606.ENSP00000348489"
"9606.ENSP00000311905","9606.ENSP00000384169",244,"9606.ENSP00000384169"
"9606.ENSP00000311905","9606.ENSP00000386881",244,"9606.ENSP00000386881"
"9606.ENSP00000311905","9606.ENSP00000434513",244,"9606.ENSP00000434513"
"9606.ENSP00000311905","9606.ENSP00000442656",244,"9606.ENSP00000442656"
"9606.ENSP00000311905","9606.ENSP00000458585",243,"9606.ENSP00000458585"
"9606.ENSP00000311905","9606.ENSP00000345997",242,"9606.ENSP00000345997"
"9606.ENSP00000311905","9606.ENSP00000378332",241,"9606.ENSP00000378332"
"9606.ENSP00000219069","9606.ENSP00000311905",240,"9606.ENSP00000219069"
"9606.ENSP00000311905","9606.ENSP00000465757",240,"9606.ENSP00000465757"
"9606.ENSP00000196061","9606.ENSP00000311905",238,"9606.ENSP00000196061"
"9606.ENSP00000311905","9606.ENSP00000480707",238,"9606.ENSP00000480707"
"9606.ENSP00000253413","9606.ENSP00000311905",237,"9606.ENSP00000253413"
"9606.ENSP00000311905","9606.ENSP00000345395",237,"9606.ENSP00000345395"
"9606.ENSP00000311905","9606.ENSP00000454919",237,"9606.ENSP00000454919"
"9606.ENSP00000311905","9606.ENSP00000498587",237,"9606.ENSP00000498587"
"9606.ENSP00000247020","9606.ENSP00000311905",236,"9606.ENSP00000247020"
"9606.ENSP00000311905","9606.ENSP00000341551",236,"9606.ENSP00000341551"
"9606.ENSP00000311905","9606.ENSP00000410734",236,"9606.ENSP00000410734"
"9606.ENSP00000223127","9606.ENSP00000311905",235,"9606.ENSP00000223127"
"9606.ENSP00000268150","9606.ENSP00000311905",235,"9606.ENSP00000268150"
"9606.ENSP00000311905","9606.ENSP00000329662",235,"9606.ENSP00000329662"
"9606.ENSP00000311905","9606.ENSP00000355751",235,"9606.ENSP00000355751"
"9606.ENSP00000304604","9606.ENSP00000311905",234,"9606.ENSP00000304604"
"9606.ENSP00000311905","9606.ENSP00000349503",234,"9606.ENSP00000349503"
"9606.ENSP00000311905","9606.ENSP00000375778",234,"9606.ENSP00000375778"
"9606.ENSP00000311905","9606.ENSP00000337473",233,"9606.ENSP00000337473"
"9606.ENSP00000311905","9606.ENSP00000451828",233,"9606.ENSP00000451828"
"9606.ENSP00000311905","9606.ENSP00000498437",233,"9606.ENSP00000498437"
"9606.ENSP00000248846","9606.ENSP00000311905",231,"9606.ENSP00000248846"
"9606.ENSP00000311905","9606.ENSP00000316809",231,"9606.ENSP00000316809"
"9606.ENSP00000311905","9606.ENSP00000338013",231,"9606.ENSP00000338013"
"9606.ENSP00000311905","9606.ENSP00000489675",231,"9606.ENSP00000489675"
"9606.ENSP00000230538","9606.ENSP00000311905",230,"9606.ENSP00000230538"
"9606.ENSP00000262018","9606.ENSP00000311905",230,"9606.ENSP00000262018"
"9606.ENSP00000311905","9606.ENSP00000361547",230,"9606.ENSP00000361547"
"9606.ENSP00000311905","9606.ENSP00000361834",230,"9606.ENSP00000361834"
"9606.ENSP00000311905","9606.ENSP00000446955",230,"9606.ENSP00000446955"
"9606.ENSP00000256178","9606.ENSP00000311905",229,"9606.ENSP00000256178"
"9606.ENSP00000311905","9606.ENSP00000362299",229,"9606.ENSP00000362299"
"9606.ENSP00000311905","9606.ENSP00000426296",229,"9606.ENSP00000426296"
"9606.ENSP00000311905","9606.ENSP00000496793",229,"9606.ENSP00000496793"
"9606.ENSP00000241416","9606.ENSP00000311905",228,"9606.ENSP00000241416"
