"from","to","combined_score","target"
"9606.ENSP00000298910","9606.ENSP00000446093",309,"9606.ENSP00000298910"
"9606.ENSP00000373700","9606.ENSP00000446093",309,"9606.ENSP00000373700"
"9606.ENSP00000357651","9606.ENSP00000446093",308,"9606.ENSP00000357651"
"9606.ENSP00000361418","9606.ENSP00000446093",307,"9606.ENSP00000361418"
"9606.ENSP00000400333","9606.ENSP00000446093",307,"9606.ENSP00000400333"
"9606.ENSP00000361524","9606.ENSP00000446093",306,"9606.ENSP00000361524"
"9606.ENSP00000350512","9606.ENSP00000446093",304,"9606.ENSP00000350512"
"9606.ENSP00000297591","9606.ENSP00000446093",303,"9606.ENSP00000297591"
"9606.ENSP00000378356","9606.ENSP00000446093",303,"9606.ENSP00000378356"
"9606.ENSP00000373278","9606.ENSP00000446093",302,"9606.ENSP00000373278"
"9606.ENSP00000381109","9606.ENSP00000446093",302,"9606.ENSP00000381109"
"9606.ENSP00000382982","9606.ENSP00000446093",302,"9606.ENSP00000382982"
"9606.ENSP00000380921","9606.ENSP00000446093",301,"9606.ENSP00000380921"
"9606.ENSP00000370770","9606.ENSP00000446093",300,"9606.ENSP00000370770"
"9606.ENSP00000419945","9606.ENSP00000446093",300,"9606.ENSP00000419945"
"9606.ENSP00000360515","9606.ENSP00000446093",298,"9606.ENSP00000360515"
"9606.ENSP00000446093","9606.ENSP00000470972",298,"9606.ENSP00000470972"
"9606.ENSP00000233630","9606.ENSP00000446093",297,"9606.ENSP00000233630"
"9606.ENSP00000257787","9606.ENSP00000446093",297,"9606.ENSP00000257787"
"9606.ENSP00000325562","9606.ENSP00000446093",297,"9606.ENSP00000325562"
"9606.ENSP00000446093","9606.ENSP00000465075",297,"9606.ENSP00000465075"
"9606.ENSP00000446093","9606.ENSP00000493970",297,"9606.ENSP00000493970"
"9606.ENSP00000310490","9606.ENSP00000446093",296,"9606.ENSP00000310490"
"9606.ENSP00000362018","9606.ENSP00000446093",296,"9606.ENSP00000362018"
"9606.ENSP00000446093","9606.ENSP00000455607",294,"9606.ENSP00000455607"
"9606.ENSP00000260983","9606.ENSP00000446093",292,"9606.ENSP00000260983"
"9606.ENSP00000263265","9606.ENSP00000446093",292,"9606.ENSP00000263265"
"9606.ENSP00000267273","9606.ENSP00000446093",292,"9606.ENSP00000267273"
"9606.ENSP00000307975","9606.ENSP00000446093",292,"9606.ENSP00000307975"
"9606.ENSP00000335306","9606.ENSP00000446093",292,"9606.ENSP00000335306"
"9606.ENSP00000353731","9606.ENSP00000446093",292,"9606.ENSP00000353731"
"9606.ENSP00000381531","9606.ENSP00000446093",292,"9606.ENSP00000381531"
"9606.ENSP00000263710","9606.ENSP00000446093",290,"9606.ENSP00000263710"
"9606.ENSP00000399863","9606.ENSP00000446093",290,"9606.ENSP00000399863"
"9606.ENSP00000301727","9606.ENSP00000446093",288,"9606.ENSP00000301727"
"9606.ENSP00000355812","9606.ENSP00000446093",288,"9606.ENSP00000355812"
"9606.ENSP00000239587","9606.ENSP00000446093",286,"9606.ENSP00000239587"
"9606.ENSP00000442008","9606.ENSP00000446093",285,"9606.ENSP00000442008"
"9606.ENSP00000440100","9606.ENSP00000446093",284,"9606.ENSP00000440100"
"9606.ENSP00000301332","9606.ENSP00000446093",283,"9606.ENSP00000301332"
"9606.ENSP00000317469","9606.ENSP00000446093",283,"9606.ENSP00000317469"
"9606.ENSP00000318697","9606.ENSP00000446093",282,"9606.ENSP00000318697"
"9606.ENSP00000385616","9606.ENSP00000446093",282,"9606.ENSP00000385616"
"9606.ENSP00000446093","9606.ENSP00000496229",282,"9606.ENSP00000496229"
"9606.ENSP00000278886","9606.ENSP00000446093",281,"9606.ENSP00000278886"
"9606.ENSP00000318960","9606.ENSP00000446093",280,"9606.ENSP00000318960"
"9606.ENSP00000307939","9606.ENSP00000446093",279,"9606.ENSP00000307939"
"9606.ENSP00000350708","9606.ENSP00000446093",278,"9606.ENSP00000350708"
"9606.ENSP00000363250","9606.ENSP00000446093",278,"9606.ENSP00000363250"
"9606.ENSP00000300249","9606.ENSP00000446093",277,"9606.ENSP00000300249"
"9606.ENSP00000398526","9606.ENSP00000446093",277,"9606.ENSP00000398526"
